06.05.2026 15:32:41: Запуск анализатора OrthoVision
06.05.2026 15:32:41: Загрузка dll драйвера анализатора OrthoVision из C:\Users\anton.petuhov\source\repos\OrthoVisionDriver\dlls\OrthoVision.dll
06.05.2026 15:32:41: Инициализация драйвера
06.05.2026 15:32:41: Драйвер загружен успешно.
06.05.2026 15:32:41: Поток обмена сообщениями запущен.
06.05.2026 15:32:41: Запускаем Цикл обмена сообщениями...
06.05.2026 15:32:51: Мониторинг. Communication Task: True.
06.05.2026 15:33:01: Мониторинг. Communication Task: True.
06.05.2026 15:33:11: Мониторинг. Communication Task: True.
06.05.2026 15:33:21: Мониторинг. Communication Task: True.
06.05.2026 15:33:31: Мониторинг. Communication Task: True.
06.05.2026 15:33:41: Мониторинг. Communication Task: True.
06.05.2026 15:33:51: Мониторинг. Communication Task: True.
06.05.2026 15:34:01: Мониторинг. Communication Task: True.
06.05.2026 15:34:12: Мониторинг. Communication Task: True.
06.05.2026 15:34:22: Мониторинг. Communication Task: True.
06.05.2026 15:34:32: Мониторинг. Communication Task: True.
06.05.2026 15:34:42: Мониторинг. Communication Task: True.
06.05.2026 15:34:52: Мониторинг. Communication Task: True.
06.05.2026 15:35:02: Мониторинг. Communication Task: True.
06.05.2026 15:35:12: Мониторинг. Communication Task: True.
06.05.2026 15:35:22: Мониторинг. Communication Task: True.
06.05.2026 15:35:32: Мониторинг. Communication Task: True.
06.05.2026 15:35:42: Мониторинг. Communication Task: True.
06.05.2026 15:35:52: Мониторинг. Communication Task: True.
06.05.2026 15:36:02: Мониторинг. Communication Task: True.
06.05.2026 15:36:12: Мониторинг. Communication Task: True.
06.05.2026 15:36:22: Мониторинг. Communication Task: True.
06.05.2026 15:36:32: Мониторинг. Communication Task: True.
06.05.2026 15:36:42: Мониторинг. Communication Task: True.
06.05.2026 15:36:52: Мониторинг. Communication Task: True.
06.05.2026 15:37:02: Мониторинг. Communication Task: True.
06.05.2026 15:37:12: Мониторинг. Communication Task: True.
06.05.2026 15:37:22: Мониторинг. Communication Task: True.
06.05.2026 15:37:32: Мониторинг. Communication Task: True.
06.05.2026 15:37:42: Мониторинг. Communication Task: True.
06.05.2026 15:37:52: Мониторинг. Communication Task: True.
06.05.2026 15:38:02: Мониторинг. Communication Task: True.
06.05.2026 15:38:12: Мониторинг. Communication Task: True.
06.05.2026 15:38:22: Мониторинг. Communication Task: True.
06.05.2026 15:38:32: Мониторинг. Communication Task: True.
